N°;Marca;S;Madre:;NW;Nascita:
94; IT059990440663  ; M  ; IT059990281121  ; N  ; 14/03/2021  
95; IT059990440664  ; F  ; IT059990334404  ; N  ; 17/03/2021  
96; IT059990440665  ; F  ; IT059990334411  ; N  ; 17/03/2021  
97; IT059990440666  ; F  ; IT059990377695  ; N  ; 18/03/2021  
98; IT059990440667  ; F  ; IT059990334409  ; N  ; 25/03/2021  
99; IT059990440668  ; M  ; IT059990377690  ; N  ; 27/03/2021  
100; IT059990440669  ; F  ; IT059990334398  ; N  ; 01/04/2021  
101; IT059990440674  ; F  ; IT059990334383  ; N  ; 20/07/2021  
102; IT059990440676  ; F  ; IT059990377708  ; N  ; 23/07/2021  
103; IT059990440677  ; F  ; IT059990377709  ; N  ; 23/07/2021  
104; IT059990440690  ; F  ; IT059990334407  ; N  ; 24/12/2021  
105; IT059990440691  ; F  ; IT059990334365  ; N  ; 26/12/2021  
